prompt_id,domain,vagueness,model,model_type,n_turns,final_cov,stopped_by,n_resolved,n_mentioned,n_absent
N07,Consulting,Ultra-vague,claude-opus-4-8,anthropic_api,7,0.5624,DONE,8,1,8
N08,Consulting,Ultra-vague,claude-opus-4-8,anthropic_api,7,0.4785,DONE,7,0,10
N09,Consulting,Ultra-vague,claude-opus-4-8,anthropic_api,7,0.3374,DONE,4,2,11
N10,Consulting,Medium,claude-opus-4-8,anthropic_api,7,0.5859,DONE,9,0,8
N11,Consulting,Medium,claude-opus-4-8,anthropic_api,8,0.6063,DONE,9,1,7
N12,Consulting,Medium,claude-opus-4-8,anthropic_api,7,0.5143,DONE,7,3,7
N13,Consulting,Medium,claude-opus-4-8,anthropic_api,7,0.6984,DONE,10,0,7
N14,Consulting,Medium,claude-opus-4-8,anthropic_api,8,0.4479,DONE,6,2,9
N15,Consulting,Medium,claude-opus-4-8,anthropic_api,8,0.5757,DONE,8,1,8
N16,Consulting,Medium,claude-opus-4-8,anthropic_api,7,0.5061,DONE,7,4,6
N17,Consulting,Medium,claude-opus-4-8,anthropic_api,7,0.3783,DONE,5,3,9
N18,Consulting,Medium,claude-opus-4-8,anthropic_api,7,0.545,DONE,8,1,8
N19,Consulting,Medium,claude-opus-4-8,anthropic_api,7,0.683,DONE,10,0,7
N20,Consulting,Medium,claude-opus-4-8,anthropic_api,7,0.6984,DONE,10,0,7
N21,Consulting,Medium,claude-opus-4-8,anthropic_api,7,0.5399,DONE,7,1,9
N22,Consulting,Detailed,claude-opus-4-8,anthropic_api,7,0.6217,DONE,9,0,8
N23,Consulting,Detailed,claude-opus-4-8,anthropic_api,7,0.6268,DONE,9,0,8
N24,Consulting,Detailed,claude-opus-4-8,anthropic_api,7,0.6217,DONE,9,0,8
N25,Consulting,Detailed,claude-opus-4-8,anthropic_api,6,0.591,DONE,8,1,8
N26,Consulting,Detailed,claude-opus-4-8,anthropic_api,7,0.6472,DONE,9,0,8
N27,Consulting,Detailed,claude-opus-4-8,anthropic_api,6,0.4785,DONE,6,0,11
N28,Consulting,Detailed,claude-opus-4-8,anthropic_api,7,0.5603,DONE,8,1,8
N29,Consulting,Detailed,claude-opus-4-8,anthropic_api,7,0.729,DONE,11,0,6
N30,Consulting,Detailed,claude-opus-4-8,anthropic_api,7,0.4785,DONE,8,4,5
N31,Medical,Ultra-vague,claude-opus-4-8,anthropic_api,7,0.4158,DONE,6,3,8
N32,Medical,Ultra-vague,claude-opus-4-8,anthropic_api,7,0.2723,DONE,4,7,6
N33,Medical,Ultra-vague,claude-opus-4-8,anthropic_api,6,0.6881,DONE,11,1,5
N34,Medical,Ultra-vague,claude-opus-4-8,anthropic_api,6,0.2228,DONE,4,2,11
N35,Medical,Ultra-vague,claude-opus-4-8,anthropic_api,6,0.4406,DONE,6,2,9
N36,Medical,Ultra-vague,claude-opus-4-8,anthropic_api,6,0.5792,DONE,8,3,6
N37,Medical,Ultra-vague,claude-opus-4-8,anthropic_api,7,0.297,DONE,4,4,9
N38,Medical,Ultra-vague,claude-opus-4-8,anthropic_api,7,0.5941,DONE,9,2,6
N39,Medical,Ultra-vague,claude-opus-4-8,anthropic_api,7,0.4257,DONE,6,3,8
N40,Medical,Ultra-vague,claude-opus-4-8,anthropic_api,7,0.203,DONE,3,6,8
N41,Medical,Medium,claude-opus-4-8,anthropic_api,6,0.604,DONE,9,2,6
N42,Medical,Medium,claude-opus-4-8,anthropic_api,6,0.3663,DONE,4,0,13
N43,Medical,Medium,claude-opus-4-8,anthropic_api,7,0.7079,DONE,11,1,5
N44,Medical,Medium,claude-opus-4-8,anthropic_api,7,0.5149,DONE,8,0,9
N45,Medical,Medium,claude-opus-4-8,anthropic_api,6,0.604,DONE,9,4,4
N46,Medical,Medium,claude-opus-4-8,anthropic_api,6,0.6188,DONE,9,3,5
N47,Medical,Medium,claude-opus-4-8,anthropic_api,7,0.6188,DONE,10,1,6
N48,Medical,Medium,claude-opus-4-8,anthropic_api,6,0.604,DONE,9,6,2
N49,Medical,Medium,claude-opus-4-8,anthropic_api,6,0.5396,DONE,9,2,6
N50,Medical,Medium,claude-opus-4-8,anthropic_api,6,0.5297,DONE,7,2,8
N51,Medical,Medium,claude-opus-4-8,anthropic_api,7,0.9208,DONE,14,0,3
N52,Medical,Medium,claude-opus-4-8,anthropic_api,7,0.4802,DONE,6,0,11
N53,Medical,Medium,claude-opus-4-8,anthropic_api,6,0.4901,DONE,7,2,8
N54,Medical,Medium,claude-opus-4-8,anthropic_api,6,0.6436,DONE,11,1,5
N55,Medical,Detailed,claude-opus-4-8,anthropic_api,6,0.7921,DONE,12,1,4
N56,Medical,Detailed,claude-opus-4-8,anthropic_api,6,0.901,DONE,13,0,4
N57,Medical,Detailed,claude-opus-4-8,anthropic_api,7,0.1931,DONE,2,0,15
N58,Medical,Detailed,claude-opus-4-8,anthropic_api,7,0.7426,DONE,12,2,3
N59,Medical,Detailed,claude-opus-4-8,anthropic_api,7,0.7376,DONE,10,2,5
N60,Medical,Detailed,claude-opus-4-8,anthropic_api,7,0.5891,DONE,9,1,7
N61,Medical,Detailed,claude-opus-4-8,anthropic_api,6,0.896,DONE,13,1,3
N62,Medical,Detailed,claude-opus-4-8,anthropic_api,6,0.7228,DONE,11,2,4
N63,Medical,Detailed,claude-opus-4-8,anthropic_api,7,0.5792,DONE,9,6,2
N64,Medical,Detailed,claude-opus-4-8,anthropic_api,6,0.3663,DONE,4,0,13
N65,Medical,Detailed,claude-opus-4-8,anthropic_api,6,0.8218,DONE,12,0,5
N66,Payments,Ultra-vague,claude-opus-4-8,anthropic_api,7,0.6075,DONE,6,2,3
N67,Payments,Ultra-vague,claude-opus-4-8,anthropic_api,7,0.4112,DONE,4,0,7
N68,Payments,Ultra-vague,claude-opus-4-8,anthropic_api,7,0.5981,DONE,6,1,4
N69,Payments,Ultra-vague,claude-opus-4-8,anthropic_api,7,0.972,DONE,10,0,1
N70,Payments,Ultra-vague,claude-opus-4-8,anthropic_api,7,0.4393,DONE,5,2,4
N71,Payments,Ultra-vague,claude-opus-4-8,anthropic_api,7,0.5981,DONE,6,0,5
N72,Payments,Ultra-vague,claude-opus-4-8,anthropic_api,7,0.729,DONE,7,0,4
N73,Payments,Ultra-vague,claude-opus-4-8,anthropic_api,7,0.4393,DONE,6,1,4
N74,Payments,Ultra-vague,claude-opus-4-8,anthropic_api,7,0.8224,DONE,9,0,2
N75,Payments,Ultra-vague,claude-opus-4-8,anthropic_api,7,0.7103,DONE,6,2,3
N76,Payments,Medium,claude-opus-4-8,anthropic_api,6,0.6916,DONE,9,0,2
N77,Payments,Medium,claude-opus-4-8,anthropic_api,7,0.0374,DONE,1,0,10
N78,Payments,Medium,claude-opus-4-8,anthropic_api,7,0.8037,DONE,9,0,2
N79,Payments,Medium,claude-opus-4-8,anthropic_api,7,0.4206,DONE,5,1,5
N80,Payments,Medium,claude-opus-4-8,anthropic_api,7,0.6636,DONE,8,1,2
N81,Payments,Medium,claude-opus-4-8,anthropic_api,7,0.5234,DONE,4,1,6
N82,Payments,Medium,claude-opus-4-8,anthropic_api,7,0.4673,DONE,6,2,3
N83,Payments,Medium,claude-opus-4-8,anthropic_api,7,0.4486,DONE,6,1,4
N84,Payments,Medium,claude-opus-4-8,anthropic_api,6,1.0,DONE,11,0,0
N85,Payments,Medium,claude-opus-4-8,anthropic_api,6,0.6262,DONE,7,0,4
N86,Payments,Medium,claude-opus-4-8,anthropic_api,7,0.4766,DONE,7,2,2
N87,Payments,Medium,claude-opus-4-8,anthropic_api,7,0.5888,DONE,6,0,5
N88,Payments,Medium,claude-opus-4-8,anthropic_api,7,0.4766,DONE,7,2,2
N89,Payments,Medium,claude-opus-4-8,anthropic_api,7,0.7664,DONE,7,0,4
N90,Payments,Detailed,claude-opus-4-8,anthropic_api,7,0.4953,DONE,7,2,2
N91,Payments,Detailed,claude-opus-4-8,anthropic_api,6,0.5981,DONE,6,0,5
N92,Payments,Detailed,claude-opus-4-8,anthropic_api,6,0.8411,DONE,10,0,1
N93,Payments,Detailed,claude-opus-4-8,anthropic_api,7,0.8505,DONE,10,0,1
N94,Payments,Detailed,claude-opus-4-8,anthropic_api,6,1.0,DONE,11,0,0
N95,Payments,Detailed,claude-opus-4-8,anthropic_api,6,0.3925,DONE,4,1,6
N96,Payments,Detailed,claude-opus-4-8,anthropic_api,8,0.8131,DONE,9,1,1
N97,Payments,Detailed,claude-opus-4-8,anthropic_api,7,0.5981,DONE,7,0,4
N98,Payments,Detailed,claude-opus-4-8,anthropic_api,7,0.6449,DONE,8,1,2
N99,Payments,Detailed,claude-opus-4-8,anthropic_api,7,0.5888,DONE,6,1,4
N100,Payments,Detailed,claude-opus-4-8,anthropic_api,7,0.5047,DONE,8,0,3
