prompt_id,domain,vagueness,model,model_type,n_turns,final_cov,stopped_by,n_resolved,n_mentioned,n_absent
N18,Consulting,Medium,claude-haiku-4-5,anthropic_api,7,0.3579,DONE,5,2,10
N19,Consulting,Medium,claude-haiku-4-5,anthropic_api,7,0.6217,DONE,9,0,8
N20,Consulting,Medium,claude-haiku-4-5,anthropic_api,7,0.3988,DONE,5,1,11
N21,Consulting,Medium,claude-haiku-4-5,anthropic_api,7,0.3937,DONE,5,4,8
N22,Consulting,Detailed,claude-haiku-4-5,anthropic_api,7,0.6217,DONE,10,3,4
N23,Consulting,Detailed,claude-haiku-4-5,anthropic_api,7,0.591,DONE,8,0,9
N24,Consulting,Detailed,claude-haiku-4-5,anthropic_api,6,0.4888,DONE,7,0,10
N25,Consulting,Detailed,claude-haiku-4-5,anthropic_api,6,0.591,DONE,8,0,9
N26,Consulting,Detailed,claude-haiku-4-5,anthropic_api,6,0.6472,DONE,9,0,8
N27,Consulting,Detailed,claude-haiku-4-5,anthropic_api,7,0.5092,DONE,7,4,6
N28,Consulting,Detailed,claude-haiku-4-5,anthropic_api,6,0.7035,DONE,10,1,6
N29,Consulting,Detailed,claude-haiku-4-5,anthropic_api,7,0.5603,DONE,8,1,8
N30,Consulting,Detailed,claude-haiku-4-5,anthropic_api,5,0.5092,DONE,8,5,4
N31,Medical,Ultra-vague,claude-haiku-4-5,anthropic_api,7,0.3564,DONE,5,4,8
N32,Medical,Ultra-vague,claude-haiku-4-5,anthropic_api,7,0.4455,DONE,8,2,7
N33,Medical,Ultra-vague,claude-haiku-4-5,anthropic_api,6,0.5693,DONE,8,3,6
N34,Medical,Ultra-vague,claude-haiku-4-5,anthropic_api,6,0.3317,DONE,6,5,6
N35,Medical,Ultra-vague,claude-haiku-4-5,anthropic_api,6,0.4059,DONE,5,2,10
N36,Medical,Ultra-vague,claude-haiku-4-5,anthropic_api,6,0.698,DONE,10,2,5
N37,Medical,Ultra-vague,claude-haiku-4-5,anthropic_api,6,0.3119,DONE,4,3,10
N38,Medical,Ultra-vague,claude-haiku-4-5,anthropic_api,6,0.5594,DONE,10,1,6
N39,Medical,Ultra-vague,claude-haiku-4-5,anthropic_api,6,0.7178,DONE,11,1,5
N40,Medical,Ultra-vague,claude-haiku-4-5,anthropic_api,7,0.2871,DONE,5,5,7
N41,Medical,Medium,claude-haiku-4-5,anthropic_api,6,0.802,DONE,13,1,3
N42,Medical,Medium,claude-haiku-4-5,anthropic_api,5,0.6535,DONE,8,4,5
N43,Medical,Medium,claude-haiku-4-5,anthropic_api,6,0.6089,DONE,11,0,6
N44,Medical,Medium,claude-haiku-4-5,anthropic_api,6,0.5891,DONE,8,2,7
N45,Medical,Medium,claude-haiku-4-5,anthropic_api,6,0.6485,DONE,10,4,3
N46,Medical,Medium,claude-haiku-4-5,anthropic_api,6,0.7525,DONE,11,2,4
N47,Medical,Medium,claude-haiku-4-5,anthropic_api,7,0.3267,DONE,5,7,5
N48,Medical,Medium,claude-haiku-4-5,anthropic_api,6,0.7079,DONE,10,3,4
N49,Medical,Medium,claude-haiku-4-5,anthropic_api,6,0.4307,DONE,8,1,8
N50,Medical,Medium,claude-haiku-4-5,anthropic_api,6,0.698,DONE,10,2,5
N51,Medical,Medium,claude-haiku-4-5,anthropic_api,7,0.6337,DONE,9,4,4
N52,Medical,Medium,claude-haiku-4-5,anthropic_api,6,0.5495,DONE,8,1,8
N53,Medical,Medium,claude-haiku-4-5,anthropic_api,7,0.6436,DONE,10,0,7
N54,Medical,Medium,claude-haiku-4-5,anthropic_api,6,0.8366,DONE,13,1,3
N55,Medical,Detailed,claude-haiku-4-5,anthropic_api,6,0.8614,DONE,13,1,3
N56,Medical,Detailed,claude-haiku-4-5,anthropic_api,6,0.901,DONE,13,0,4
N57,Medical,Detailed,claude-haiku-4-5,anthropic_api,6,0.9851,DONE,16,0,1
N58,Medical,Detailed,claude-haiku-4-5,anthropic_api,6,0.8416,DONE,13,1,3
N59,Medical,Detailed,claude-haiku-4-5,anthropic_api,6,0.7673,DONE,11,3,3
N60,Medical,Detailed,claude-haiku-4-5,anthropic_api,6,0.7079,DONE,10,1,6
N61,Medical,Detailed,claude-haiku-4-5,anthropic_api,6,0.9356,DONE,14,0,3
N62,Medical,Detailed,claude-haiku-4-5,anthropic_api,6,0.8119,DONE,13,1,3
N63,Medical,Detailed,claude-haiku-4-5,anthropic_api,6,0.6634,DONE,10,1,6
N64,Medical,Detailed,claude-haiku-4-5,anthropic_api,7,0.802,DONE,12,3,2
N65,Medical,Detailed,claude-haiku-4-5,anthropic_api,6,0.8416,DONE,13,2,2
N66,Payments,Ultra-vague,claude-haiku-4-5,anthropic_api,7,0.4393,DONE,5,1,5
N67,Payments,Ultra-vague,claude-haiku-4-5,anthropic_api,7,0.1869,DONE,2,1,8
N68,Payments,Ultra-vague,claude-haiku-4-5,anthropic_api,6,0.5794,DONE,5,0,6
N69,Payments,Ultra-vague,claude-haiku-4-5,anthropic_api,7,0.4486,DONE,6,1,4
N70,Payments,Ultra-vague,claude-haiku-4-5,anthropic_api,6,0.486,DONE,6,1,4
N71,Payments,Ultra-vague,claude-haiku-4-5,anthropic_api,7,0.4112,DONE,5,1,5
N72,Payments,Ultra-vague,claude-haiku-4-5,anthropic_api,6,0.6449,DONE,7,2,2
N73,Payments,Ultra-vague,claude-haiku-4-5,anthropic_api,6,0.486,DONE,7,0,4
N74,Payments,Ultra-vague,claude-haiku-4-5,anthropic_api,7,0.6075,DONE,6,2,3
N75,Payments,Ultra-vague,claude-haiku-4-5,anthropic_api,7,0.3364,DONE,2,2,7
N76,Payments,Medium,claude-haiku-4-5,anthropic_api,7,0.6916,DONE,9,0,2
N77,Payments,Medium,claude-haiku-4-5,anthropic_api,6,0.0,DONE,0,1,10
N78,Payments,Medium,claude-haiku-4-5,anthropic_api,8,0.6449,DONE,8,1,2
N79,Payments,Medium,claude-haiku-4-5,anthropic_api,7,0.5234,DONE,4,3,4
N80,Payments,Medium,claude-haiku-4-5,anthropic_api,6,0.8505,DONE,10,0,1
N81,Payments,Medium,claude-haiku-4-5,anthropic_api,7,0.4486,DONE,5,4,2
N82,Payments,Medium,claude-haiku-4-5,anthropic_api,7,1.0,DONE,11,0,0
N83,Payments,Medium,claude-haiku-4-5,anthropic_api,6,0.5888,DONE,6,1,4
N84,Payments,Medium,claude-haiku-4-5,anthropic_api,7,0.6168,DONE,7,1,3
N85,Payments,Medium,claude-haiku-4-5,anthropic_api,7,0.3738,DONE,3,1,7
N86,Payments,Medium,claude-haiku-4-5,anthropic_api,6,0.6355,DONE,8,0,3
N87,Payments,Medium,claude-haiku-4-5,anthropic_api,6,0.7944,DONE,9,0,2
N88,Payments,Medium,claude-haiku-4-5,anthropic_api,7,0.6449,DONE,9,1,1
N89,Payments,Medium,claude-haiku-4-5,anthropic_api,6,0.7664,DONE,7,0,4
N90,Payments,Detailed,claude-haiku-4-5,anthropic_api,5,0.3458,DONE,7,3,1
N91,Payments,Detailed,claude-haiku-4-5,anthropic_api,6,0.729,DONE,6,1,4
N92,Payments,Detailed,claude-haiku-4-5,anthropic_api,5,1.0,DONE,11,0,0
N93,Payments,Detailed,claude-haiku-4-5,anthropic_api,7,0.3084,DONE,6,1,4
N94,Payments,Detailed,claude-haiku-4-5,anthropic_api,6,0.6449,DONE,8,0,3
N95,Payments,Detailed,claude-haiku-4-5,anthropic_api,6,0.3551,DONE,4,1,6
N96,Payments,Detailed,claude-haiku-4-5,anthropic_api,7,0.6542,DONE,8,0,3
N97,Payments,Detailed,claude-haiku-4-5,anthropic_api,6,0.3551,DONE,4,2,5
N98,Payments,Detailed,claude-haiku-4-5,anthropic_api,6,0.3458,DONE,6,1,4
N99,Payments,Detailed,claude-haiku-4-5,anthropic_api,6,0.4673,DONE,6,0,5
N100,Payments,Detailed,claude-haiku-4-5,anthropic_api,5,0.5047,DONE,8,0,3
