prompt_id,domain,vagueness,final_cov,n_resolved,n_mentioned,n_absent,set
N09,Consulting,Ultra-vague,0.6186,9,5,3,new
N10,Consulting,Medium,0.3885,5,3,9,new
N11,Consulting,Medium,0.5706,8,0,9,new
N12,Consulting,Medium,0.5164,7,1,9,new
N13,Consulting,Medium,0.7188,10,1,6,new
N14,Consulting,Medium,0.5399,7,0,10,new
N15,Consulting,Medium,0.4836,7,1,9,new
N16,Consulting,Medium,0.5757,8,2,7,new
N17,Consulting,Medium,0.4785,6,2,9,new
N18,Consulting,Medium,0.4172,6,2,9,new
N19,Consulting,Medium,0.6063,9,0,8,new
N20,Consulting,Medium,0.5859,8,2,7,new
N21,Consulting,Medium,0.5143,7,1,9,new
N22,Consulting,Detailed,0.5859,9,0,8,new
N23,Consulting,Detailed,0.5757,8,0,9,new
N24,Consulting,Detailed,0.3476,4,3,10,new
N25,Consulting,Detailed,0.5399,7,0,10,new
N26,Consulting,Detailed,0.5399,7,0,10,new
N27,Consulting,Detailed,0.4785,6,0,11,new
N28,Consulting,Detailed,0.5245,7,2,8,new
N29,Consulting,Detailed,0.5092,7,3,7,new
N30,Consulting,Detailed,0.4121,7,3,7,new
N31,Medical,Ultra-vague,0.1881,2,2,13,new
N32,Medical,Ultra-vague,0.0,0,9,8,new
N33,Medical,Ultra-vague,0.4257,7,7,3,new
N34,Medical,Ultra-vague,0.0,0,8,9,new
N35,Medical,Ultra-vague,0.0891,1,6,10,new
N36,Medical,Ultra-vague,0.2178,4,5,8,new
N37,Medical,Ultra-vague,0.2624,3,3,11,new
N38,Medical,Ultra-vague,0.1436,2,11,4,new
N39,Medical,Ultra-vague,0.599,9,1,7,new
N40,Medical,Ultra-vague,0.099,1,10,6,new
N41,Medical,Medium,0.2822,3,0,14,new
N42,Medical,Medium,0.7178,10,0,7,new
N43,Medical,Medium,0.4356,6,7,4,new
N44,Medical,Medium,0.3366,4,1,12,new
N45,Medical,Medium,0.6089,8,1,8,new
N46,Medical,Medium,0.5149,7,2,8,new
N47,Medical,Medium,0.3218,4,3,10,new
N48,Medical,Medium,0.4851,7,4,6,new
N49,Medical,Medium,0.2475,4,1,12,new
N50,Medical,Medium,0.5297,7,5,5,new
N51,Medical,Medium,0.4109,6,1,10,new
N52,Medical,Medium,0.1931,2,2,13,new
N53,Medical,Medium,0.4208,6,2,9,new
N54,Medical,Medium,0.5545,8,0,9,new
N55,Medical,Detailed,0.7426,11,0,6,new
N56,Medical,Detailed,0.6683,9,1,7,new
N57,Medical,Detailed,0.5693,9,0,8,new
N58,Medical,Detailed,0.7079,11,1,5,new
N59,Medical,Detailed,0.8366,12,1,4,new
N60,Medical,Detailed,0.5347,8,1,8,new
N61,Medical,Detailed,0.9356,14,0,3,new
N62,Medical,Detailed,0.5594,8,3,6,new
N63,Medical,Detailed,0.599,9,1,7,new
N64,Medical,Detailed,0.6238,9,0,8,new
N65,Medical,Detailed,0.7871,12,0,5,new
N66,Payments,Ultra-vague,0.3645,3,2,6,new
N67,Payments,Ultra-vague,0.271,4,2,5,new
N68,Payments,Ultra-vague,0.6168,6,1,4,new
N69,Payments,Ultra-vague,0.2804,5,2,4,new
N70,Payments,Ultra-vague,0.2804,4,4,3,new
N71,Payments,Ultra-vague,0.2804,5,1,5,new
N72,Payments,Ultra-vague,0.4206,4,1,6,new
N73,Payments,Ultra-vague,0.4112,4,1,6,new
N74,Payments,Ultra-vague,0.3084,2,7,2,new
N75,Payments,Ultra-vague,0.0467,1,3,7,new
N76,Payments,Medium,0.3551,6,2,3,new
N77,Payments,Medium,0.0,0,1,10,new
N78,Payments,Medium,0.1121,3,1,7,new
N79,Payments,Medium,0.215,3,2,6,new
N80,Payments,Medium,0.6729,8,1,2,new
N81,Payments,Medium,0.2991,5,1,5,new
N82,Payments,Medium,0.3178,6,3,2,new
N83,Payments,Medium,0.0841,3,1,7,new
N84,Payments,Medium,0.4486,6,0,5,new
N85,Payments,Medium,0.2523,3,2,6,new
N86,Payments,Medium,0.271,4,3,4,new
N87,Payments,Medium,0.4486,6,1,4,new
N88,Payments,Medium,0.2617,4,2,5,new
N89,Payments,Medium,0.4766,7,1,3,new
N90,Payments,Detailed,0.2991,5,0,6,new
N91,Payments,Detailed,0.6075,6,1,4,new
N92,Payments,Detailed,0.3738,7,1,3,new
N93,Payments,Detailed,0.4486,6,2,3,new
N94,Payments,Detailed,0.4953,7,1,3,new
N95,Payments,Detailed,0.0841,3,0,8,new
N96,Payments,Detailed,0.1589,5,1,5,new
N97,Payments,Detailed,0.2336,4,0,7,new
N98,Payments,Detailed,0.3458,6,0,5,new
N99,Payments,Detailed,0.4019,4,0,7,new
N100,Payments,Detailed,0.6542,9,0,2,new
